,preds,Attrition_Flag,Customer_Age,Education_Level,Income_Category,Card_Category,Credit_Limit,Avg_Utilization_Ratio,Gender
0,1,Existing Customer,45,High School,$60K - $80K,Blue,12691.0,0.061,M
1,1,Existing Customer,49,Graduate,Less than $40K,Blue,8256.0,0.105,F
2,1,Existing Customer,51,Graduate,$80K - $120K,Blue,3418.0,0.0,M
4,1,Existing Customer,40,Uneducated,$60K - $80K,Blue,4716.0,0.0,M
5,1,Existing Customer,44,Graduate,$40K - $60K,Blue,4010.0,0.311,M
8,1,Existing Customer,37,Uneducated,$60K - $80K,Blue,22352.0,0.113,M
9,1,Existing Customer,48,Graduate,$80K - $120K,Blue,11656.0,0.14400000000000002,M
12,1,Existing Customer,56,College,$80K - $120K,Blue,11751.0,0.0,M
14,1,Existing Customer,57,Graduate,Less than $40K,Blue,2436.0,0.27899999999999997,F
16,1,Existing Customer,48,Post-Graduate,$80K - $120K,Blue,30367.0,0.078,M
18,1,Existing Customer,61,High School,$40K - $60K,Blue,3193.0,0.7879999999999999,M
20,1,Existing Customer,47,Doctorate,$60K - $80K,Blue,20979.0,0.086,M
21,1,Attrited Customer,62,Graduate,Less than $40K,Blue,1438.3,0.0,F
22,1,Existing Customer,41,High School,$40K - $60K,Blue,4470.0,0.152,M
25,1,Existing Customer,41,Graduate,Less than $40K,Blue,7768.0,0.215,F
29,1,Existing Customer,47,High School,$40K - $60K,Blue,4785.0,0.285,M
31,1,Existing Customer,53,Uneducated,$60K - $80K,Blue,2451.0,0.69,M
32,1,Existing Customer,41,Graduate,$60K - $80K,Blue,8923.0,0.282,M
33,1,Existing Customer,53,College,Less than $40K,Blue,2650.0,0.562,F
34,1,Existing Customer,58,Graduate,$80K - $120K,Blue,12555.0,0.135,M
35,1,Existing Customer,55,College,Less than $40K,Blue,3520.0,0.544,F
36,1,Existing Customer,55,Graduate,Less than $40K,Blue,3035.0,0.757,F
37,1,Existing Customer,42,High School,Less than $40K,Gold,15433.0,0.0,F
40,1,Existing Customer,45,Graduate,$80K - $120K,Blue,32426.0,0.018000000000000002,M
42,1,Existing Customer,50,College,$40K - $60K,Silver,17304.0,0.145,F
43,1,Existing Customer,49,High School,$60K - $80K,Blue,3906.0,0.0,M
45,1,Existing Customer,49,Uneducated,$80K - $120K,Blue,34516.0,0.0,M
46,1,Existing Customer,56,Doctorate,$60K - $80K,Blue,2283.0,0.626,M
47,1,Existing Customer,59,Doctorate,$40K - $60K,Blue,2548.0,0.7929999999999999,M
48,1,Existing Customer,46,High School,$80K - $120K,Blue,19458.0,0.07400000000000001,M
49,1,Existing Customer,52,College,$80K - $120K,Blue,4745.0,0.259,M
51,1,Attrited Customer,54,Graduate,Less than $40K,Blue,1438.3,0.562,F
52,1,Existing Customer,66,High School,Less than $40K,Blue,3171.0,0.687,F
54,1,Attrited Customer,56,Graduate,$120K +,Blue,15769.0,0.0,M
56,1,Existing Customer,49,Graduate,Less than $40K,Blue,2802.0,0.843,F
57,1,Existing Customer,56,Uneducated,$40K - $60K,Blue,4458.0,0.42200000000000004,M
59,1,Existing Customer,42,High School,$60K - $80K,Blue,3336.0,0.525,M
61,0,Attrited Customer,48,Graduate,$60K - $80K,Silver,34516.0,0.0,M
62,1,Existing Customer,39,High School,$60K - $80K,Blue,5926.0,0.21100000000000002,M
63,1,Existing Customer,44,Post-Graduate,$120K +,Blue,23957.0,0.08800000000000001,M
64,1,Existing Customer,53,High School,$120K +,Blue,14734.0,0.111,M
65,1,Existing Customer,51,Uneducated,$80K - $120K,Silver,34516.0,0.044000000000000004,M
66,1,Existing Customer,57,College,$60K - $80K,Blue,6584.0,0.276,M
67,1,Existing Customer,44,Uneducated,Less than $40K,Blue,2084.0,0.7040000000000001,F
68,1,Existing Customer,49,Graduate,$60K - $80K,Blue,1687.0,0.6559999999999999,M
69,1,Existing Customer,50,Doctorate,$80K - $120K,Blue,25300.0,0.053,M
70,1,Existing Customer,51,Graduate,$120K +,Blue,34516.0,0.051,M
71,1,Existing Customer,55,Graduate,Less than $40K,Blue,2216.0,0.467,F
73,1,Existing Customer,42,Uneducated,$80K - $120K,Blue,22913.0,0.067,M
74,1,Existing Customer,44,College,$60K - $80K,Blue,24312.0,0.079,M
75,1,Existing Customer,53,Graduate,$80K - $120K,Blue,5272.0,0.287,M
76,1,Existing Customer,44,Graduate,Less than $40K,Blue,7000.0,0.36,F
77,1,Existing Customer,37,Uneducated,Less than $40K,Blue,7038.0,0.256,F
78,1,Existing Customer,49,Graduate,$60K - $80K,Blue,2536.0,0.7190000000000001,M
79,1,Existing Customer,47,Graduate,$80K - $120K,Blue,28904.0,0.066,M
80,1,Existing Customer,47,Graduate,$60K - $80K,Blue,8567.0,0.198,M
84,1,Existing Customer,53,Graduate,$80K - $120K,Blue,34516.0,0.035,M
85,1,Existing Customer,52,Graduate,$60K - $80K,Blue,3085.0,0.619,M
86,1,Existing Customer,53,High School,$120K +,Blue,19040.0,0.10800000000000001,M
87,1,Existing Customer,43,Uneducated,Less than $40K,Blue,4026.0,0.0,F
88,1,Existing Customer,44,High School,$60K - $80K,Blue,12756.0,0.066,M
90,1,Existing Customer,51,High School,Less than $40K,Blue,9930.0,0.0,F
91,1,Existing Customer,49,High School,$80K - $120K,Blue,31302.0,0.062,M
92,1,Existing Customer,45,Graduate,$40K - $60K,Blue,6576.0,0.0,M
